package,stars,downloads,gallery,description,CRAN
calendR,255,50087,TRUE,Ready to Print Monthly and Yearly Calendars Made with 'ggplot2',TRUE
granovaGG,NA,49069,NA,Graphical Analysis of Variance Using ggplot2,TRUE
ggfx,170,47742,TRUE,Pixel Filters for 'ggplot2' and 'grid',TRUE
ggpval,NA,46955,NA,Annotate Statistical Tests for 'ggplot2',TRUE
ggTimeSeries,255,46532,TRUE,Time Series Visualisations Using the Grammar of Graphics,TRUE
ggsoccer,NA,44452,NA,Plot Soccer Event Data,TRUE
ggmuller,64,44212,TRUE,Create Muller Plots of Evolutionary Dynamics,TRUE
ggswissmaps,NA,43973,NA,Offers Various Swiss Maps as Data Frames and 'ggplot2' Objects,TRUE
ggPMX,NA,42376,NA,'ggplot2' Based Tool to Facilitate Diagnostic Plots for NLME Models,TRUE
gglm,79,42340,TRUE,Grammar of Graphics for Linear Model Diagnostic Plots,TRUE
ggetho,NA,42050,NA,Visualisation of High-Throughput Behavioural (i.e. Ethomics) Data,TRUE
ggquiver,51,41704,TRUE,Quiver Plots for 'ggplot2',TRUE
gg.gap,NA,41639,NA,Define Segments in y-Axis for 'ggplot2',TRUE
ggenealogy,NA,41398,NA,Visualization Tools for Genealogical Data,TRUE
gggibbous,NA,40854,NA,"Moon Charts, a Pie Chart Alternative",TRUE
GGEBiplots,NA,40557,NA,GGE Biplots with 'ggplot2',TRUE
tvthemes,140,40062,TRUE,TV Show Themes and Color Palettes for 'ggplot2' Graphics,TRUE
ggplotlyExtra,NA,39741,NA,Extra Convenience Functions for 'Plotly',TRUE
quickReg,NA,39548,NA,"Build Regression Models Quickly and Display the Results Using
'ggplot2'",TRUE
ggasym,13,39204,TRUE,NA,NA
gapmap,NA,38519,NA,Drawing Gapped Cluster Heatmaps with 'ggplot2',TRUE
rphylopic,91,37374,TRUE,NA,NA
geomnet,97,37323,TRUE,NA,NA
plotluck,NA,36551,NA,"'ggplot2' Version of ""I'm Feeling Lucky!""",TRUE
gginference,NA,36414,NA,Visualise the Results of Inferential Statistics using 'ggplot2',TRUE
ggdemetra,NA,36204,NA,'ggplot2' Extension for Seasonal and Trading Day Adjustment with 'RJDemetra',TRUE
ggcharts,292,35711,TRUE,Shorten the Distance from Data Visualization Idea to Actual Plot,TRUE
ggbump,541,35491,TRUE,Bump Chart and Sigmoid Curves,TRUE
nord,NA,35314,NA,"Arctic Ice Studio's Nord and Group of Seven Inspired Colour
Palettes for 'ggplot2'",TRUE
ggallin,NA,34811,NA,Grab Bag of 'ggplot2' Functions,TRUE
gglorenz,31,34458,TRUE,Plotting Lorenz Curve with the Blessing of 'ggplot2',TRUE
ggdmc,NA,34430,NA,Cognitive Models,TRUE
piecepackr,59,33978,TRUE,NA,NA
ggversa,NA,31953,NA,Graficas Versatiles Con 'ggplot2',TRUE
ggChernoff,36,31548,TRUE,Chernoff Faces for 'ggplot2',TRUE
nflplotR,20,31450,TRUE,NFL Logo Plots in 'ggplot2' and 'gt',TRUE
ggghost,NA,30579,NA,Capture the Spirit of Your 'ggplot2' Calls,TRUE
swimplot,NA,29970,NA,Tools for Creating Swimmers Plots using 'ggplot2',TRUE
gghalfnorm,NA,29953,NA,Create a Half Normal Plot Using 'ggplot2',TRUE
ggperiodic,21,29938,TRUE,Easy Plotting of Periodic Data with 'ggplot2',TRUE
contribution,NA,29629,NA,A Tiny Contribution Table Generator Based on 'ggplot2',TRUE
ggOceanMaps,NA,29394,NA,Plot Data on Oceanographic Maps using 'ggplot2',TRUE
aRtsy,NA,29258,NA,Generative Art with 'ggplot2',TRUE
ggstream,NA,28867,NA,Create Streamplots in 'ggplot2',TRUE
ggrain,75,28600,TRUE,A Rainclouds Geom for 'ggplot2',TRUE
ggrisk,NA,27833,NA,Risk Score Plot for Cox Regression,TRUE
deeptime,90,27112,TRUE,NA,NA
ggblanket,168,26588,TRUE,Simplify 'ggplot2' Visualisation,TRUE
add2ggplot,NA,26524,NA,Add to 'ggplot2',TRUE
ggdensity,229,26495,TRUE,Interpretable Bivariate Density Visualization with 'ggplot2',TRUE
ggsom,13,26455,TRUE,New Data Visualisations for SOMs Networks,TRUE
ggpage,340,26010,TRUE,Creates Page Layout Visualizations,TRUE
ggisotonic,NA,25063,NA,'ggplot2' Friendly Isotonic or Monotonic Regression Curves,TRUE
ggfocus,NA,25013,NA,Scales that Focus Specific Levels in your ggplot(),TRUE
xmrr,7,24911,TRUE,NA,NA
plothelper,NA,24872,NA,"New Plots Based on 'ggplot2' and Functions to Create Regular
Shapes",TRUE
ggbuildr,NA,24597,NA,Save Incremental Builds of Plots,TRUE
ggheatmap,87,24263,TRUE,Plot Heatmap,TRUE
cytofan,NA,24218,NA,Plot Fan Plots for Cytometry Data using 'ggplot2',TRUE
ggseg,219,24076,TRUE,Plotting Tool for Brain Atlases,TRUE
ggQQunif,8,23261,TRUE,Compare Big Datasets to the Uniform Distribution,TRUE
loon.ggplot,NA,23256,NA,A Grammar of Interactive Graphics,TRUE
ggimg,53,23236,TRUE,Graphics Layers for Plotting Image Data with 'ggplot2',TRUE
ggnormalviolin,NA,23001,NA,A 'ggplot2' Extension to Make Normal Violin Plots,TRUE
ggsolvencyii,NA,22212,NA,A 'ggplot2'-Plot of Composition of Solvency II SCR: SF and IM,TRUE
ggpie,48,22136,TRUE,"Pie, Donut and Rose Pie Plots",TRUE
sportyR,NA,21488,NA,Plot Scaled 'ggplot' Representations of Sports Playing Surfaces,TRUE
ggpath,NA,20508,NA,Robust Image Rendering Support for 'ggplot2',TRUE
ggmulti,NA,19721,NA,High Dimensional Data Visualization,TRUE
ggBubbles,NA,19478,NA,Mini Bubble Plots for Comparison of Discrete Data with 'ggplot2',TRUE
mdthemes,80,19146,TRUE,NA,NA
SparseBiplots,NA,19091,NA,"'HJ-Biplot' using Different Ways of Penalization Plotting with
'ggplot2'",TRUE
ggmice,NA,18178,NA,Visualizations for 'mice' with 'ggplot2',TRUE
ggrcs,NA,17361,NA,Draw Histograms and Restricted Cubic Splines (RCS),TRUE
ggseqplot,14,16503,TRUE,Render Sequence Plots using 'ggplot2',TRUE
ggip,27,16470,TRUE,Data Visualization for IP Addresses and Networks,TRUE
ggarchery,32,15779,TRUE,Flexible Segment Geoms with Arrows for 'ggplot2',TRUE
ggshadow,60,15488,TRUE,Shadow and Glow Geoms for 'ggplot2',TRUE
ggseg3d,NA,14684,NA,Tri-Surface Mesh Plots for Brain Atlases,TRUE
gggrid,NA,14544,NA,Draw with 'grid' in 'ggplot2',TRUE
ggpackets,NA,14446,NA,Package Plot Layers for Easier Portability and Modularization,TRUE
ggHoriPlot,144,14214,TRUE,Horizon Plots for 'ggplot2',TRUE
ggborderline,NA,13992,NA,Line Plots that Pop,TRUE
gwaRs,NA,13880,NA,"Manhattan, Q-Q, and PCA Plots using 'ggplot2'",TRUE
figpatch,NA,13630,NA,"Easily Arrange External Figures with Patchwork Alongside
'ggplot2' Figures",TRUE
tablesgg,NA,13029,NA,"Presentation-Quality Tables, Displayed Using 'ggplot2'",TRUE
qtl2ggplot,NA,12820,NA,Data Visualization for QTL Experiments,TRUE
tgamtheme,NA,12689,NA,Globe and Mail Graphics Theme for 'ggplot2',TRUE
ggstudent,NA,12604,NA,Continuous Confidence Interval Plots using t-Distribution,TRUE
ggx,151,12598,TRUE,A Natural Language Interface to 'ggplot2',TRUE
ggnuplot,NA,12378,NA,Make 'ggplot2' Look Like 'gnuplot',TRUE
gggap,NA,12076,NA,Streamlined Creation of Segments on the Y-Axis of 'ggplot2' Plots,TRUE
gghilbertstrings,NA,11667,NA,A Fast 'ggplot2'-Based Implementation of Hilbert Curves,TRUE
ggtikz,NA,11476,NA,Post-Process 'ggplot2' Plots with 'TikZ' Code Using Plot Coordinates,TRUE
ggtrendline,NA,11143,NA,Add Trendline and Confidence Interval to 'ggplot',TRUE
ggordiplots,NA,10860,NA,Make 'ggplot2' Versions of Vegan's Ordiplots,TRUE
smplot2,NA,10758,NA,"Create Standalone and Composite Plots in 'ggplot2' for
Publications",TRUE
ggcleveland,NA,10677,NA,Implementation of Plots from Cleveland's Visualizing Data Book,TRUE
ggmatplot,NA,10616,NA,Plot Columns of Two Matrices Against Each Other Using 'ggplot2',TRUE
ggplate,NA,10597,NA,Create Layout Plots of Biological Culture Plates and Microplates,TRUE
ggcorset,NA,10557,NA,The Corset Plot,TRUE
ggpolar,NA,10245,NA,Dots and Their Connections in Polar Coordinate System,TRUE
onsvplot,NA,9868,NA,"National Road Safety Observatory (ONSV) Style for 'ggplot2'
Graphics",TRUE
tidyplots,415,9518,TRUE,NA,NA
ggalignment,NA,9461,NA,Plots 'D&D'-Style Alignment Charts,TRUE
ggDoubleHeat,14,9311,TRUE,A Heatmap-Like Visualization Tool,TRUE
ggpointless,NA,9152,NA,Additional Geometries and Stats for 'ggplot2',TRUE
ggESDA,21,8953,TRUE,Exploratory Symbolic Data Analysis with 'ggplot2',TRUE
gamlss.ggplots,NA,8773,NA,"Plotting Functions for Generalized Additive Model for Location
Scale and Shape",TRUE
ggsurvey,NA,8575,NA,Simplifying 'ggplot2' for Survey Data,TRUE
ggchangepoint,NA,8322,NA,Combines Changepoint Analysis with 'ggplot2',TRUE
ggbrain,NA,8300,NA,Create Images of Volumetric Brain Data in NIfTI Format Using 'ggplot2' Syntax,TRUE
ggDoE,NA,7991,NA,Modern Graphs for Design of Experiments with 'ggplot2',TRUE
ggtea,NA,7948,NA,Palettes and Themes for 'ggplot2',TRUE
ggsector,4,7609,TRUE,Draw Sectors,TRUE
painbow,NA,7534,NA,"Use XKCD's ""Painbow"" Colormap in ggplot2",TRUE
ggfacto,NA,7528,NA,Graphs for Correspondence Analysis,TRUE
ggtrace,15,7274,TRUE,Trace and Highlight Groups of Data Points,TRUE
mlbplotR,NA,7152,NA,"Create 'ggplot2' and 'gt' Visuals with Major League Baseball
Logos",TRUE
fillpattern,NA,6633,NA,Patterned Fills for 'ggplot2' and 'grid' Graphics,TRUE
ggmapinset,36,6500,TRUE,Add Inset Panels to Maps,TRUE
ggflowchart,88,6381,TRUE,Flowcharts with 'ggplot2',TRUE
gglgbtq,NA,6362,NA,Show Pride on 'ggplot2' Plots,TRUE
ggfixest,NA,5997,NA,Dedicated 'ggplot2' Methods for 'fixest' Objects,TRUE
ggpcp,1,5916,TRUE,Parallel Coordinate Plots in the 'ggplot2' Framework,TRUE
ggblend,184,5819,TRUE,Blending and Compositing Algebra for 'ggplot2',TRUE
ggmugs,NA,5792,NA,Visualization of Multiple Genome-Wide Association Study Summary Statistics,TRUE
ggredist,NA,5649,NA,"Scales, Geometries, and Extensions of 'ggplot2' for Election Mapping",TRUE
oblicubes,20,5637,TRUE,NA,NA
ggFishPlots,NA,5567,NA,Visualise and Calculate Life History Parameters for Fisheries Science using 'ggplot2',TRUE
ggsankeyfier,NA,5026,NA,Create Sankey and Alluvial Diagrams Using 'ggplot2',TRUE
ggarrow,54,4968,TRUE,Arrows for 'ggplot2',TRUE
ggdaynight,NA,4904,NA,Add Day/Night Patterns to 'ggplot2' Plots,TRUE
ggtricks,NA,4897,NA,Create Sector and Other Charts Easily Using Grammar of Graphics,TRUE
ggragged,35,4604,TRUE,Ragged Grids for 'ggplot2',TRUE
ggrounded,NA,4267,NA,Rounded Bar Plots,TRUE
gghdx,NA,4261,NA,"HDX Theme, Scales, and Other Conveniences for 'ggplot2'",TRUE
stevethemes,NA,4172,NA,Steve's 'ggplot2' Themes and Related Theme Elements,TRUE
gghist,NA,4027,NA,Plot the Histogram of a Numeric Vector,TRUE
unhcrthemes,NA,4024,NA,UNHCR 'ggplot2' Theme and Colour Palettes,TRUE
ggalign,227,3867,TRUE,A 'ggplot2' Extension for Consistent Axis Alignment,TRUE
layer,NA,3860,NA,Tilt your Maps and Turn Them into 'ggplot' Plots,TRUE
ggsmc,NA,3827,NA,Visualising Output from Sequential Monte Carlo Samplers and Ensemble-Based Methods,TRUE
ggscidca,NA,3778,NA,Plotting Decision Curve Analysis with Coloured Bars,TRUE
ggbrace,NA,3700,NA,Curly Braces for 'ggplot2',TRUE
tidyEdSurvey,NA,3562,NA,Integration of 'dplyr' and 'ggplot2' with 'EdSurvey',TRUE
ggScatRidges,NA,3351,NA,Scatter Plot Combined with Ridgelines in 'ggplot2',TRUE
ggaligner,NA,3294,NA,Visualizing Sequence Alignment by Generating Publication-Ready Plots,TRUE
ggautomap,NA,3261,NA,Create Maps from a Column of Place Names,TRUE
ggRtsy,NA,3041,NA,Add Some Van Gogh Colors and Overlay Colors on Your 'ggplot()',TRUE
gggenomes,641,2942,TRUE,A Grammar of Graphics for Comparative Genomics,TRUE
ipeaplot,NA,2826,NA,Add Ipea Editorial Standards to 'ggplot2' Graphics,TRUE
flowmapper,NA,2815,NA,"Draw Flows (Migration, Goods, Money, Information) on 'ggplot2'
Plots",TRUE
ggthemeUL,NA,2749,NA,A 'ggplot' Theme for University of Ljubljana,TRUE
plotthis,NA,2711,NA,"High-Level Plotting Built Upon 'ggplot2' and Other Plotting
Packages",TRUE
tinythemes,NA,2651,NA,Lightweight Repackaging of 'Themes' for 'ggplot2',TRUE
RGraphSpace,NA,2536,NA,A Lightweight Interface Between 'ggplot2' and 'igraph' Objects,TRUE
ggreveal,33,2443,TRUE,Reveal a 'ggplot' Incrementally,TRUE
ggpca,2,2325,TRUE,"Publication-Ready PCA, t-SNE, and UMAP Plots",TRUE
ggvolcano,NA,2291,NA,Publication-Ready Volcano Plots,TRUE
ggtibble,NA,2288,NA,Create Tibbles and Lists of 'ggplot' Figures for Reporting,TRUE
ggbrick,NA,2198,NA,Waffle Style Chart with a Brick Layout in 'ggplot2',TRUE
legendry,211,2143,TRUE,Extended Legends and Axes for 'ggplot2',TRUE
gglogger,NA,2067,NA,Track 'ggplot2' Calls,TRUE
ggfields,NA,2050,NA,Add Vector Field Layers to Ggplots,TRUE
ggsem,NA,1891,NA,Interactively Visualize Structural Equation Modeling Diagrams,TRUE
ggview,NA,1830,NA,'ggplot2' Picture Previewer,TRUE
ggfoundry,17,1829,TRUE,Shape Foundry & Geom for 'ggplot2',TRUE
ggspark,NA,1692,NA,'ggplot2' Functions to Create Tufte Style Sparklines,TRUE
ggfigdone,NA,1378,NA,Manage & Modify 'ggplot' Figures using 'ggfigdone',TRUE
ggbraid,81,1237,TRUE,NA,NA
ggcompare,NA,1079,NA,Mean Comparison in 'ggplot2',TRUE
ggsurveillance,NA,863,NA,Tools for Outbreak Investigation/Infectious Disease Surveillance,TRUE
gg1d,NA,565,NA,Exploratory Data Analysis using Tiled One-Dimensional Graphics,TRUE
ggtaxplot,NA,518,NA,Create Plots to Visualize Taxonomy,TRUE
ggstackplot,NA,466,NA,Create Overlapping Stacked Plots,TRUE
ggmapcn,NA,412,NA,Customizable China Map Visualizations,TRUE
ggfootball,NA,263,NA,Plotting Expected Goals (xG) Stats with 'Understat' Data,TRUE
gg3D,104,NA,TRUE,NA,NA
gganatogram,383,NA,TRUE,NA,NA
ggtech,393,NA,TRUE,NA,NA
ggradar,340,NA,TRUE,NA,NA
ggtree,858,NA,TRUE,NA,NA
ggthemr,898,NA,TRUE,NA,NA
ggpirate,26,NA,TRUE,NA,NA
humapr,9,NA,TRUE,NA,NA
econocharts,252,NA,TRUE,NA,NA
ggchromatic,13,NA,TRUE,NA,NA
ggtranscript,135,NA,TRUE,NA,NA
ggterror,0,NA,TRUE,NA,NA
ggmagnify,278,NA,TRUE,NA,NA
ggoutlierscatterplot,4,NA,TRUE,NA,NA
ggautothemes,2,NA,TRUE,NA,NA
eheat,12,NA,TRUE,NA,NA
