package,stars,downloads,gallery,description,CRAN
tablesgg,NA,13012,NA,"Presentation-Quality Tables, Displayed Using 'ggplot2'",TRUE
qtl2ggplot,NA,12788,NA,Data Visualization for QTL Experiments,TRUE
tgamtheme,NA,12662,NA,Globe and Mail Graphics Theme for 'ggplot2',TRUE
ggstudent,NA,12589,NA,Continuous Confidence Interval Plots using t-Distribution,TRUE
ggx,151,12581,TRUE,A Natural Language Interface to 'ggplot2',TRUE
ggnuplot,NA,12363,NA,Make 'ggplot2' Look Like 'gnuplot',TRUE
gggap,NA,12059,NA,"Streamlined Creation of Segments on the Y-Axis of 'ggplot2'
Plots",TRUE
gghilbertstrings,NA,11634,NA,A Fast 'ggplot2'-Based Implementation of Hilbert Curves,TRUE
ggtikz,NA,11446,NA,"Post-Process 'ggplot2' Plots with 'TikZ' Code Using Plot
Coordinates",TRUE
ggtrendline,NA,11095,NA,Add Trendline and Confidence Interval to 'ggplot',TRUE
ggordiplots,NA,10755,NA,Make 'ggplot2' Versions of Vegan's Ordiplots,TRUE
ggcleveland,NA,10660,NA,Implementation of Plots from Cleveland's Visualizing Data Book,TRUE
smplot2,NA,10610,NA,"Create Standalone and Composite Plots in 'ggplot2' for
Publications",TRUE
ggmatplot,NA,10585,NA,Plot Columns of Two Matrices Against Each Other Using 'ggplot2',TRUE
ggplate,NA,10530,NA,Create Layout Plots of Biological Culture Plates and Microplates,TRUE
ggcorset,NA,10521,NA,The Corset Plot,TRUE
ggpolar,NA,10217,NA,Dots and Their Connections in Polar Coordinate System,TRUE
onsvplot,NA,9803,NA,"National Road Safety Observatory (ONSV) Style for 'ggplot2'
Graphics",TRUE
ggalignment,NA,9431,NA,Plots 'D&D'-Style Alignment Charts,TRUE
ggDoubleHeat,14,9279,TRUE,A Heatmap-Like Visualization Tool,TRUE
ggpointless,NA,9122,NA,Additional Geometries and Stats for 'ggplot2',TRUE
tidyplots,415,9112,TRUE,NA,NA
ggESDA,21,8935,TRUE,Exploratory Symbolic Data Analysis with 'ggplot2',TRUE
gamlss.ggplots,NA,8738,NA,"Plotting Functions for Generalized Additive Model for Location
Scale and Shape",TRUE
ggsurvey,NA,8551,NA,Simplifying 'ggplot2' for Survey Data,TRUE
ggchangepoint,NA,8296,NA,Combines Changepoint Analysis with 'ggplot2',TRUE
ggbrain,NA,8265,NA,"Create Images of Volumetric Brain Data in NIfTI Format Using
'ggplot2' Syntax",TRUE
ggDoE,NA,7961,NA,Modern Graphs for Design of Experiments with 'ggplot2',TRUE
ggtea,NA,7929,NA,Palettes and Themes for 'ggplot2',TRUE
ggsector,4,7530,TRUE,Draw Sectors,TRUE
painbow,NA,7517,NA,"Use XKCD's ""Painbow"" Colormap in ggplot2",TRUE
ggfacto,NA,7484,NA,Graphs for Correspondence Analysis,TRUE
ggtrace,15,7238,TRUE,Trace and Highlight Groups of Data Points,TRUE
mlbplotR,NA,7105,NA,"Create 'ggplot2' and 'gt' Visuals with Major League Baseball
Logos",TRUE
ggmapinset,36,6459,TRUE,Add Inset Panels to Maps,TRUE
fillpattern,NA,6390,NA,Patterned Fills for 'ggplot2' and 'grid' Graphics,TRUE
ggflowchart,88,6347,TRUE,Flowcharts with 'ggplot2',TRUE
gglgbtq,NA,6315,NA,Show Pride on 'ggplot2' Plots,TRUE
ggfixest,NA,5917,NA,Dedicated 'ggplot2' Methods for 'fixest' Objects,TRUE
ggpcp,1,5894,TRUE,Parallel Coordinate Plots in the 'ggplot2' Framework,TRUE
ggblend,184,5759,TRUE,Blending and Compositing Algebra for 'ggplot2',TRUE
ggmugs,NA,5720,NA,"Visualization of Multiple Genome-Wide Association Study Summary
Statistics",TRUE
ggredist,NA,5626,NA,"Scales, Geometries, and Extensions of 'ggplot2' for Election
Mapping",TRUE
oblicubes,20,5609,TRUE,NA,NA
ggFishPlots,NA,5534,NA,"Visualise and Calculate Life History Parameters for Fisheries
Science using 'ggplot2'",TRUE
ggsankeyfier,NA,4960,NA,Create Sankey and Alluvial Diagrams Using 'ggplot2',TRUE
ggarrow,54,4877,TRUE,Arrows for 'ggplot2',TRUE
ggtricks,NA,4855,NA,Create Sector and Other Charts Easily Using Grammar of Graphics,TRUE
ggdaynight,NA,4836,NA,Add Day/Night Patterns to 'ggplot2' Plots,TRUE
ggragged,35,4571,TRUE,Ragged Grids for 'ggplot2',TRUE
ggrounded,NA,4245,NA,Rounded Bar Plots,TRUE
gghdx,NA,4224,NA,"HDX Theme, Scales, and Other Conveniences for 'ggplot2'",TRUE
stevethemes,NA,4161,NA,Steve's 'ggplot2' Themes and Related Theme Elements,TRUE
gghist,NA,4009,NA,Plot the Histogram of a Numeric Vector,TRUE
unhcrthemes,NA,3984,NA,UNHCR 'ggplot2' Theme and Colour Palettes,TRUE
layer,NA,3826,NA,Tilt your Maps and Turn Them into 'ggplot' Plots,TRUE
ggalign,227,3785,TRUE,A 'ggplot2' Extension for Consistent Axis Alignment,TRUE
