package,description,downloads,CRAN
ggplot2.utils,Selected Utilities Extending 'ggplot2',101228,TRUE
ggplot2movies,Movies Data,1268860,TRUE
ggplotAssist,'RStudio' Addin for Teaching and Learning 'ggplot2',55701,TRUE
ggplotgui,Create Ggplots via a Graphical User Interface,79446,TRUE
ggplotify,Convert Plot to 'grob' or 'ggplot' Object,1545561,TRUE
ggplotlyExtra,Extra Convenience Functions for 'Plotly',39682,TRUE
ggpmisc,Miscellaneous Extensions to 'ggplot2',784424,TRUE
ggPMX,"'ggplot2' Based Tool to Facilitate Diagnostic Plots for NLME
Models",42285,TRUE
ggpointdensity,A Cross Between a 2D Density Plot and a Scatter Plot,81830,TRUE
ggpointless,Additional Geometries and Stats for 'ggplot2',9122,TRUE
ggpol,Visualizing Social Science Data with 'ggplot2',155692,TRUE
ggpolar,Dots and Their Connections in Polar Coordinate System,10217,TRUE
ggpolypath,Polygons with Holes for the Grammar of Graphics,76511,TRUE
ggpp,Grammar Extensions to 'ggplot2',571495,TRUE
ggprism,A 'ggplot2' Extension Inspired by 'GraphPad Prism',163991,TRUE
ggpubr,'ggplot2' Based Publication Ready Plots,15897739,TRUE
ggpval,Annotate Statistical Tests for 'ggplot2',46901,TRUE
ggQC,Quality Control Charts for 'ggplot',62072,TRUE
ggQQunif,Compare Big Datasets to the Uniform Distribution,23245,TRUE
ggquickeda,"Quickly Explore Your Data Using 'ggplot2' and 'table1' Summary
Tables",128660,TRUE
ggquiver,Quiver Plots for 'ggplot2',41636,TRUE
ggragged,Ragged Grids for 'ggplot2',4571,TRUE
ggrain,A Rainclouds Geom for 'ggplot2',28410,TRUE
ggRandomForests,Visually Exploring Random Forests,101678,TRUE
ggraph,An Implementation of Grammar of Graphics for Graphs and Networks,3567784,TRUE
ggraptR,"Allows Interactive Visualization of Data Through a Web Browser
GUI",113325,TRUE
ggrastr,Rasterize Layers for 'ggplot2',470462,TRUE
ggrcs,Draw Histograms and Restricted Cubic Splines (RCS),17135,TRUE
ggredist,"Scales, Geometries, and Extensions of 'ggplot2' for Election
Mapping",5626,TRUE
ggrepel,"Automatically Position Non-Overlapping Text Labels with
'ggplot2'",22872033,TRUE
ggResidpanel,"Panels and Interactive Versions of Diagnostic Plots using
'ggplot2'",153912,TRUE
ggreveal,Reveal a 'ggplot' Incrementally,2380,TRUE
ggridges,Ridgeline Plots in 'ggplot2',4724083,TRUE
ggrisk,Risk Score Plot for Cox Regression,27788,TRUE
ggrounded,Rounded Bar Plots,4245,TRUE
ggRtsy,Add Some Van Gogh Colors and Overlay Colors on Your 'ggplot()',3023,TRUE
ggsankeyfier,Create Sankey and Alluvial Diagrams Using 'ggplot2',4960,TRUE
